"","MM104_2_S18_L004_R1_001","MM109_S20_L005_R1_001","MM154_S20_L006_R1_001","MM116_S7_L003_R1_001","MM134_S15_L006_R1_001","MM141_S12_L004_R1_001"
"IGKV2D-29",0,1.30732351511243,2.07173937153557,0,0,0
"IGKV2D-30",0,0,0,0,0,0
"IGKV2D-36",0,0,0,0,0.464865356417571,0
"IGKV2D-38",0,0,0,0,0,0
"IGKV2D-40",0,0,0,0,0.464865356417571,0
"IGKV2OR2-1",2.59084876200775,0,0,0,1.39459606925271,0
"IGKV2OR2-10",0,0,0,0,0,0
"IGKV2OR2-2",0,0,0,0,0,0
"IGKV2OR22-3",0,0.653661757556213,0,0,0,0
"IGKV2OR22-4",0,0,0.414347874307115,0,0.464865356417571,0
"IGKV2OR2-7",0,0,0,0,0,0
"IGKV2OR2-7D",0,0,0,0,0,0
"IGKV2OR2-8",0,0,0,0,0,0
"IGKV3-11",3857.77380662954,64.7125139980651,19.0600022181273,13.1697547330441,21.3838063952083,21.6175124976337
"IGKV3-15",1987.18100045994,62.7515287253965,24.0321767098126,0.823109670815256,19.524344969538,837.678609283305
"IGKV3-20",7168.87852447544,56.8685729073906,23.2034809611984,52.6790189321764,30.6811135235597,108.087562488168
"IGKV3-25",0,0,0.828695748614229,0,0,0
"IGKV3-31",0,0,0,0,0,0
"IGKV3-34",0,0,0,0,0,0
"IGKV3-7",370.491372967108,8.49760284823077,2.07173937153557,0,0.929730712835142,0
"IGKV3D-11",2.59084876200775,3.26830878778107,2.48608724584269,0,0.929730712835142,0
"IGKV3D-15",0,8.49760284823077,0.414347874307115,0,0.464865356417571,0
"IGKV3D-20",310.90185144093,8.49760284823077,2.9004351201498,0,0.929730712835142,10.8087562488168
"IGKV3D-25",0,0,0,0,0,0
"IGKV3D-31",0,0,0,0,0,0
"IGKV3D-34",0,0,0,0,0,0
"IGKV3D-7",0,0,0,0,0,0
"IGKV3OR22-2",0,0,0.414347874307115,0,0,0
"IGKV3OR2-268",0,0,0,0,0,0
"IGKV3OR2-5",0,0,0,0,0,0
"IGKV4-1",9169.01376874542,221.591335811556,217.118286136928,108.650476547614,154.800163687051,675.547265551052
"IGKV5-2",49.2261264781472,9.8049263633432,7.45826173752806,0.823109670815256,1.39459606925271,0
"IGKV6-21",0,0.653661757556213,0,0,0.464865356417571,0
"IGKV6D-21",0,0,0,0,0,0
"IGKV6D-41",0,0,0,0.823109670815256,0,0
"IGKV7-3",20.726790096062,0,0,0,0.464865356417571,0
"IGLC1",0,0,0,0,0,0
"IGLC2",35668.2149065607,247143.627576186,131.348276155355,133.343766672072,218.486717516258,7679.62131478436
"IGLC3",13099.3313407112,302.645393748527,91.5708802218723,49.3865802489154,24823.8100326983,1902.34109979176
"IGLC4",2.59084876200775,9.15126460578698,0,0,1.39459606925271,0
"IGLC5",253.903178676759,7.19027933311834,0.414347874307115,13.1697547330441,0.464865356417571,0
"IGLC6",10.363395048031,200.020497812201,0.414347874307115,3.29243868326102,0.929730712835142,0
"IGLC7",562.214181355681,72.5564550887397,4.55782661737826,19.7546320995662,13.4810953361096,0
"IGLCOR22-1",0,1.30732351511243,0,0,0,0
"IGLCOR22-2",0,0.653661757556213,0,0,0,0
"IGLJ1",0,0.653661757556213,16.1595670979775,14.8159740746746,3.254057494923,0
"IGLJ2",212.449598484635,21.570837999355,0.414347874307115,0,1.39459606925271,0
"IGLJ3",2.59084876200775,1.30732351511243,0.828695748614229,0,301.232750958586,0
"IGLJ4",0,0,0,0,0,0
"IGLJ5",0,0,0,0,0.464865356417571,0
"IGLJ6",0,0,0,0,0.464865356417571,0
"IGLJ7",0,0,0,0,0,0
"IGLJCOR18",0,3.26830878778107,0,0,0,0
"IGLL1",308.311002678922,22.2244997569112,0.414347874307115,0,0.929730712835142,0
"IGLL3P",0,121.581086905456,0.828695748614229,0,1.39459606925271,0
"IGLL4P",0,0.653661757556213,0,0,0.464865356417571,0
"IGLL5",437.853440779309,367.357907746592,856.042708318499,896.366431517814,268.227310652939,664.738509302235
"IGLON5",0,1.30732351511243,0,0,0,0
"IGLV10-54",0,11.1122498784556,0.414347874307115,3.29243868326102,3.254057494923,0
"IGLV10-67",0,0,0,0,0,0
"IGLV11-55",0,7.84394109067456,0.414347874307115,0,0.464865356417571,0
"IGLV1-36",375.673070491123,71.2491315736272,2.07173937153557,18.9315224287509,4.64865356417571,0
"IGLV1-40",6497.84869511543,75.8247638765207,13.2591319778277,11.5235353914136,23.2432678208786,567.459703062884
"IGLV1-41",349.764582871046,25.4928085446923,3.31478299445692,14.8159740746746,0,0
"IGLV1-44",191.722808388573,2585.88591289238,2.07173937153557,4.11554835407628,5.57838427701085,16.2131343732253
"IGLV1-47",3339.60405422799,25941.8741721334,8.28695748614229,31.2781674909797,12.0864992668569,589.077215560518
"IGLV1-50",419.717499445255,9.15126460578698,1.65739149722846,0,1.39459606925271,0
"IGLV1-51",4627.25588894584,75.1711021189645,21.9604373382771,15.6390837454899,22.778402464461,5.40437812440842
"IGLV1-62",0,0,0,0,0,0
"IGLV2-11",2264.40181799477,41.8343524835976,12.0160883549063,10.7004257205983,26.9621906722191,10.8087562488168
"IGLV2-14",1111.47411890132,43.1416759987101,9.11565323475652,0.823109670815256,32.0757095928124,0
"IGLV2-18",1342.05965872001,3.26830878778107,4.97217449168538,0.823109670815256,0,5.40437812440842
"IGLV2-23",3647.91505690691,109.815175269444,19.8886979667415,13.9928644038594,18.1297489002853,5.40437812440842
"IGLV2-28",0,1.30732351511243,0.828695748614229,0,1.85946142567028,5.40437812440842
"IGLV2-33",2.59084876200775,0,0,0,0,0
"IGLV2-34",0,0,0.828695748614229,0,0,0
"IGLV2-5",0,7.19027933311834,0.414347874307115,0,0.929730712835142,0
"IGLV2-8",3277.4236839398,41.1806907260414,6.62956598891383,22.2239611120119,18.5946142567028,189.153234354295
"IGLV3-1",4881.1590676226,1164.17159020762,43.9208746765542,70.787431690112,52.5297852751855,0
"IGLV3-10",639.939644215914,56.8685729073906,16.9882628465917,0,32433.1910518975,5.40437812440842
"IGLV3-12",538.896542497612,0.653661757556213,1.24304362292134,0,1.39459606925271,0
"IGLV3-13",0,0,0,0,0,0
"IGLV3-15",0,0,0,0,0,0
"IGLV3-16",2.59084876200775,6.53661757556213,0.828695748614229,0,20.4540756823731,0
"IGLV3-17",0,0,0,0,0,0
"IGLV3-19",3609.05232547679,32.6830878778107,27.3469597042696,68.3181026776663,33.0054403056476,16.2131343732253
"IGLV3-2",0,0,0,0,0,0
"IGLV3-21",6298.35334044084,182.371630358183,23.2034809611984,18.1084127579356,44.6270742160868,1896.93672166735
"IGLV3-22",0,0.653661757556213,0.828695748614229,0,0,0
"IGLV3-24",0,0,0,0,0.929730712835142,0
"IGLV3-25",3241.15180127169,73.2101168462959,6.62956598891383,3.29243868326102,19.9892103259556,10.8087562488168
"IGLV3-26",0,0,0,0,0,0
"IGLV3-27",25.9084876200775,9.8049263633432,2.9004351201498,9.87731604978308,6.04324963342843,978.192440517924
"IGLV3-29",0,0,0,0,0,0
"IGLV3-30",0,0,0,0,1.39459606925271,0
"IGLV3-31",0,0,0,0,0,0
"IGLV3-32",0,0,0.828695748614229,2.46932901244577,0.929730712835142,0
"IGLV3-4",0,0,0,0,0.464865356417571,0
