"","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri","enri"
"TPD52",1.02762893503014,1.17639289145053,0.577067455352065,0.869003115264797,1.33114880493446,0.350437163295946,4.58342114506498,0.650321318804135,1.13267598602097,0.773974867724868,0.556709850892202,0.395460797799175,0.235620585267407,0.989816855384148,0.0783190066857689,0.606953380742748,1.29474565626963,2.02776011866921
"POU2AF1",1.70805425318151,0.357949087415946,0.616198384711637,0.591433021806854,1.93677717810332,0.359622008301687,1.65261678960309,0.562587314892428,0.558537194208687,1.00578703703704,0.946712295282327,0.549747822099954,0.110662630339724,1.35732198495326,0.0186246418338109,1.22192121006886,1.55620682436676,4.25821148548421
"ZBTB38",3.91049899531145,1.3364553314121,0.903196450915709,1.64984423676012,1.0585967617579,0.566192705113486,4.30371150919096,0.672394523609947,0.955441837244134,2.36954365079365,0.986922512833048,1.0777166437414,0.236966027581567,2.38559161030473,0.0754536771728749,1.68100237047071,1.14360477287,2.23892773892774
"PRDM1",2.13889819156062,1.93948126801153,0.566260948697532,0.748130841121495,0.958365458750964,0.592069239600812,2.7672403699801,0.976948868398994,2.29231153270095,1.13640873015873,0.787215839648008,0.475928473177442,0.389673730238816,1.10479519720343,0.478510028653295,0.854272491251834,2.3221687251413,2.38525111252384
"COMMD3",0.963831212324179,2.11887608069164,0.970310544875441,0.870093457943925,1.22744795682344,0.311578203656275,1.31038520079616,0.883766415199777,2.93946580129805,0.664021164021164,1.10009777560499,0.46033929390188,0.592499159098554,1.42890797173037,0.47134670487106,1.6902584941867,1.90914800083735,3.34774316592498
"FCRL5",0.717766242464836,0.742795389048991,0.984757137982027,1.86479750778816,1.69121048573631,0.0741852865848273,2.24048706240487,0.57781503213188,1.45856215676485,0.971891534391534,0.672818381813737,0.469509399358093,0.13790783720148,1.25678243027586,0.0157593123209169,0.324641607404899,1.24387691019468,1.29879211697394
"MIR29B2CHG",1.4014567983925,0.403458213256484,0.267432601524286,0.493146417445483,0.608712413261372,0.132385410226972,1.43905865823674,0.136770047499301,0.371817274088867,0.591765873015873,0.668051821070643,0.908757450710683,0.280524722502523,1.72482711452238,0.191977077363897,0.437182526244497,0.752564370944107,0.534011443102352
"MESD",3.34293369055593,0.710014409221902,0.727448526902514,0.88613707165109,1.31033153430995,0.443433718979069,2.32127385552043,0.723805532271584,0.743260109835247,0.912698412698413,0.64153018821804,0.511462631820266,0.229397914564413,1.21627783266206,0.178605539637058,0.832825375324529,0.806363826669458,1.99491417673236
"CAV1",0.127930341594106,0.472862632084534,0.14116710271869,0.353582554517134,0.106784888203547,0.0653537048485384,0.572649572649573,0.380832634814194,1.20806290564154,0.138888888888889,0.219139574676118,0.0538743695552499,0.0210225361587622,0.643361957595562,0.00477554918815664,0.0724686759227904,0.457818714674482,3.02352193261284
"PLPP5",2.92782987273945,2.01224783861671,1.16653395518144,1.71059190031153,1.9922898997687,0.455974565044599,2.1092377941693,1.01592623637888,1.30179730404393,1.17476851851852,0.874725006110975,0.691425951398441,0.34460141271443,0.889429287939813,0.145176695319962,0.996726492832148,1.17479589700649,0.966306420851875
"PARP1",2.17900200937709,1.38124399615754,1.07405300875896,0.468224299065421,1.85389360061681,0.394153492890577,1.17070600632244,0.939089131042191,1.15489266100849,0.55026455026455,0.63847470056221,0.403713892709766,0.328960645812311,1.94520860247739,0.502387774594078,0.590021447115927,0.580071174377224,1.17365967365967
"GPR160",1.08322170127261,0.12536023054755,0.461039699692868,0.184735202492212,0.159599074787972,0.155789101828137,0.111345275728837,0.150041911148365,0.77109335996006,0.241236772486772,0.274505010999756,0.371618523613022,0.0807265388496468,1.5131088988525,0.106972301814709,0.466982729427701,0.425371572116391,1.69643992371265
"C11orf1",0.84938044206296,0.519932756964457,0.311682402457058,0.64797507788162,0.519275250578258,0.198004062527599,0.440346563634235,0.371612182173792,0.623689465801298,0.276455026455026,0.194206795404547,0.260660247592847,0.170366633030609,0.614256402462193,0.260267430754537,0.399029235805396,1.91689344777057,3.99470226742954
"NME1",0.914768921634293,1.27101344860711,0.988852235240587,0.713707165109034,2.93446414803392,0.274220612911773,1.41868633649456,1.12768929868678,1.08936595107339,0.646825396825397,0.501588853581032,0.476386978450252,0.340565085771948,1.23884793677331,0.735434574976122,0.80223501523874,1.79757169771823,3.36247086247086
"EAF2",2.124079035499,0.546469740634006,0.722102149926061,3.1613707165109,0.949498843484965,0.386028437693191,2.72239784568552,0.596535345068455,0.756365451822267,1.31580687830688,0.428012710828648,0.361302154974782,0.149175916582577,1.07736150163386,0.162846227316141,1.34202505926177,1.08226920661503,2.15840220385675
"SRPRB",1.73233422638982,1.05655619596542,0.590717779547264,1.20965732087227,2.02775636083269,0.284023668639053,1.83936307223978,0.798267672534227,1.01947079380929,0.977678571428571,0.650818870691762,0.607060981201284,0.208879919273461,1.16824986701117,0.245463228271251,0.905294051247319,1.61147163491731,1.49459631277813
"CD320",0.702277294038848,1.04478866474544,0.24479581390058,0.392367601246106,2.51464919043948,0.27413229709441,0.509308043554619,0.435456831517184,1.02271592611083,0.240079365079365,0.233439256905402,0.164832645575424,0.302892700975446,1.14583175013299,0.208213944603629,0.386499604921549,0.547833368222734,2.54450095359186
"TCF4",1.31011386470194,0.896733909702209,1.31771129564327,0.997040498442368,1.53353893600617,0.218316700521063,2.99613628380752,0.613299804414641,1.28594608087868,0.54646164021164,0.243339036910291,0.68707015130674,0.237806929027918,1.23254046660081,0.289875835721108,0.799751664973473,0.563324262089177,0.969167196439924
"AIM2",0.2428834561286,0.382684918347743,0.26288249345922,0.195327102803738,0.646106399383192,0.0642055992228208,0.576864535768645,0.0294775076837105,0.345856215676485,0.16848544973545,0.241627963823026,0.0364511691884457,0.0188361923982509,0.690174025381868,0.00811843361986628,0.0363472175189073,0.0548461377433536,1.99947022674295
"CD38",0.912257200267917,1.09053794428434,1.3865316801274,2.04610591900312,0.625674633770239,0.357149165415526,2.0165086055497,0.721570271025426,1.88679480778832,2.26339285714286,0.825348325592765,0.55387436955525,0.17238479650185,1.16080249259062,0.115090735434575,1.65695902472062,1.04731002721373,3.94045348590803
"C2orf88",0.965170797052914,0.319884726224784,0.312023660561938,0.199221183800623,0.0886661526599846,0.0982071889075333,0.649806814190376,0.159681475272422,0.55416874687968,0.487599206349206,0.222806159863114,0.150618982118294,0.0850992263706694,0.523292043468349,0.0797516714422159,0.254994920419912,0.516223571279045,1.89319771137953
"SPATS2",0.901791694574682,0.624399615754083,0.426913889204869,0.580685358255452,0.913646877409406,0.276163560893756,1.17281348788198,0.376781223805532,0.530454318522217,0.53885582010582,0.531777071620631,0.332645575424117,0.12108980827447,0.725055095371989,0.1189111747851,0.424765774918162,0.782708813062592,1.63721127357491
"GLCCI1",0.415354989953115,0.819164265129683,0.911045387327949,1.75514018691589,1.1692367000771,0.560540492802261,2.6389181594661,0.700195585359039,1.7191712431353,0.316964285714286,0.432901491077976,0.622879413113251,0.257484022872519,1.25883425792233,0.101241642788921,1.72062309515747,3.13439397111158,1.72398813307904
"SDC1",0.590924313462826,0.563280499519693,0.36480491411671,1.75763239875389,1.7964533538936,0.437869822485207,2.45146938297623,1.07655769768092,1.01622566150774,1.73363095238095,0.889513566365192,1.51650618982118,0.077531113353515,1.2446994452466,0.0124164278892073,1.13082740715656,1.78312748586979,2.79858020767112
"VEGFB",0.5660582719357,0.334293948126801,0.321920145603458,0.296884735202492,0.499614494988435,0.183520268480085,0.555789720173282,0.238055322715842,0.451447828257614,0.239914021164021,0.252016621852848,0.223750573131591,0.157753111335351,1.2491070750057,0.170964660936008,0.339428829438989,0.719070546368013,1.16444161898707
